标题： 直播发视频的都著名梦服呗 	 链接：http://tieba.baidu.com//p/5964235733 	 发帖人：破晓强袭... 	 发帖时间：17:23 	 回复数量： 2 
标题： 说出你们印象最深刻的id 	 链接：http://tieba.baidu.com//p/5964137879 	 发帖人：lzxjohn 	 发帖时间：15:44 	 回复数量： 32 
标题： 就这俩，见了往死里打！ 	 链接：http://tieba.baidu.com//p/5964149235 	 发帖人：帅老兔 	 发帖时间：15:55 	 回复数量： 63 
标题： 没有SD玩的这些年手机里一直存着这个游戏~ 	 链接：http://tieba.baidu.com//p/5964131230 	 发帖人：柯南小子 	 发帖时间：15:37 	 回复数量： 23 
标题： 那么 海外党来求一个那啥 	 链接：http://tieba.baidu.com//p/5964249486 	 发帖人：Krossfire66 	 发帖时间：17:38 	 回复数量： 5 
标题： 关服前一年退坑的老咸鱼想问一下梦福版本的特性…… 	 链接：http://tieba.baidu.com//p/5964252180 	 发帖人：天星彩色 	 发帖时间：17:41 	 回复数量： 8 
标题： 78一台的神 	 链接：http://tieba.baidu.com//p/5964037886 	 发帖人：少佐的爱 	 发帖时间：14:03 	 回复数量： 50 
标题： 五年，五年！ 	 链接：http://tieba.baidu.com//p/5964260819 	 发帖人：高木上原 	 发帖时间：17:51 	 回复数量： 4 
标题： 萌新问一下Jz  Jq先合哪一个 	 链接：http://tieba.baidu.com//p/5964058695 	 发帖人：瞧一瞧看... 	 发帖时间：14:25 	 回复数量： 56 
标题： SD敢达安装完毕，梦服启动 	 链接：http://tieba.baidu.com//p/5946384453 	 发帖人：银色飞... 	 发帖时间：11-10 	 回复数量： 108 
标题： 抢了杂兵的热度狗游会不会搞事？ 	 链接：http://tieba.baidu.com//p/5964221289 	 发帖人：810082419 	 发帖时间：17:08 	 回复数量： 8 
标题： 这个世界上最刺激的就是最后的1V1 	 链接：http://tieba.baidu.com//p/5964255610 	 发帖人：峯DarkBlue抢镜 	 发帖时间：17:45 	 回复数量： 3 
标题： 吊事多，干就完事了，能玩多久算多久，世界上有比sd敢达更好玩 	 链接：http://tieba.baidu.com//p/5964205596 	 发帖人：foamat123 	 发帖时间：16:51 	 回复数量： 7 
标题： 我来总结一下，爱玩玩不玩滚 	 链接：http://tieba.baidu.com//p/5964127147 	 发帖人：风铃零2 	 发帖时间：15:33 	 回复数量： 119 
标题： 以后就不是逃课了吧，以后维护是翘班了？ 	 链接：http://tieba.baidu.com//p/5964184879 	 发帖人：耶格耶大... 	 发帖时间：16:30 	 回复数量： 10 
标题： i love this game 	 链接：http://tieba.baidu.com//p/5964249972 	 发帖人：Eriir 	 发帖时间：17:38 	 回复数量： 2 
标题： 你们以前在s级用的最频繁的是哪几台机子 	 链接：http://tieba.baidu.com//p/5964226710 	 发帖人：天龙马2 	 发帖时间：17:13 	 回复数量： 39 
标题： 思考一下，听说新手辅助具有Gb加成功能，所以，什么任务图得G 	 链接：http://tieba.baidu.com//p/5964223715 	 发帖人：AWHAWB 	 发帖时间：17:10 	 回复数量： 10 
标题： 你们居然妄想虐吧里的手冲达人没5？ 	 链接：http://tieba.baidu.com//p/5964218327 	 发帖人：盒子瓶 	 发帖时间：17:04 	 回复数量： 8 
标题： 任务系统会有么？ 	 链接：http://tieba.baidu.com//p/5964262821 	 发帖人：zhong6030 	 发帖时间：17:53 	 回复数量： 2 
标题： 十万gp怎么花啊！这可是稳定一台ar啊 	 链接：http://tieba.baidu.com//p/5964208844 	 发帖人：贝尔西蒙 	 发帖时间：16:55 	 回复数量： 56 
标题： win8不能玩怎么办，有什么解决方法吗？ 	 链接：http://tieba.baidu.com//p/5963686780 	 发帖人：我爱吃楼... 	 发帖时间：04:09 	 回复数量： 32 
标题： 开服10万肯定一推人拿去抽神盾 	 链接：http://tieba.baidu.com//p/5964227489 	 发帖人：a28362779 	 发帖时间：17:14 	 回复数量： 27 
标题： 大陆的手机号码都实名制了，怎么还要问这种问题 	 链接：http://tieba.baidu.com//p/5964178783 	 发帖人：皇のDS 	 发帖时间：16:24 	 回复数量： 29 
标题： 讲道理，JZ和JZZ可以比一下吗？ 	 链接：http://tieba.baidu.com//p/5964249674 	 发帖人：yyl663310 	 发帖时间：17:38 	 回复数量： 4 
标题： 我这样的电脑配置还能像当年那样玩吗?别吐槽手机拍了，电脑太卡 	 链接：http://tieba.baidu.com//p/5958357942 	 发帖人：熊孩纸之日 	 发帖时间：11-23 	 回复数量： 28 
标题： 与其说禁机体，不如讨论一下禁道具？ 	 链接：http://tieba.baidu.com//p/5964055002 	 发帖人：樱花疾走 	 发帖时间：14:21 	 回复数量： 116 
标题： 以后活计只能手动pk了，不对!靠老本10wgb 	 链接：http://tieba.baidu.com//p/5964132718 	 发帖人：光辉白... 	 发帖时间：15:39 	 回复数量： 30 
标题： 梦服大佬牛啊 	 链接：http://tieba.baidu.com//p/5964138336 	 发帖人：敢达倒霉帝 	 发帖时间：15:44 	 回复数量： 23 
标题： 麻烦各位战友帮个忙，不是水贴，真的要买，星期六要用了 	 链接：http://tieba.baidu.com//p/5964169674 	 发帖人：使得80 	 发帖时间：16:15 	 回复数量： 28 
标题： 基因工程是件好事，理当倡导 	 链接：http://tieba.baidu.com//p/5962377637 	 发帖人：遥知yz 	 发帖时间：11-27 	 回复数量： 52 
标题： 以前有个群的人听到复活的消息 说准备举报了擦  无语 	 链接：http://tieba.baidu.com//p/5964151160 	 发帖人：水分仪亮 	 发帖时间：15:57 	 回复数量： 19 
标题： 最后的准备工作了，赋诗一首 	 链接：http://tieba.baidu.com//p/5964252741 	 发帖人：梅达莉安... 	 发帖时间：17:41 	 回复数量： 0 
标题： 大爱SD问个敏感的问题 	 链接：http://tieba.baidu.com//p/5964126184 	 发帖人：木野真心 	 发帖时间：15:32 	 回复数量： 46 
